Event;Date;Team;Winnings
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;ESC        ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;FlipSid3   ;4000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Bravado    ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;myXMG      ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Planetkey  ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Envy       ;22000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Keyd       ;10000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;TSM        ;10000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;CLG        ;2000
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Luminosity ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Kinguin    ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Renegades  ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Immunity   ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;eBettle    ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;G2         ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Liquid     ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Vexed      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Astralis   ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Gambit     ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;FaZe       ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Splyce     ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;OpTic      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;North      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;GODSENT    ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Immortals  ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;BIG        ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;MIBR       ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;TYLOO      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Winstrike  ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;ENCE       ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;AVANGAR    ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;Vitality   ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;NRG        ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;CR4ZY      ;
ESL One Katowice 2015;2015-03-15T11:00:00.000Z;DreamEaters;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;fnatic     ;370000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;NiP        ;310000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;VeryGames  ;22000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Complexity ;32000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;LGB        ;34000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Recursive  ;10000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Reason     ;4000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;SK         ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Xapso      ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;iBUYPOWER  ;8000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Dignitas   ;54000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;LDLC       ;132000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;HellRaisers;24000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;3DMAX      ;4000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Titan      ;8000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;mousesports;4000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Cloud9     ;16000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Epsilon    ;10000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Wolves     ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;dAT        ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;PENTA      ;20000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;ESC        ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;FlipSid3   ;6000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Bravado    ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;myXMG      ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Planetkey  ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Envy       ;72000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Keyd       ;10000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;TSM        ;32000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;CLG        ;4000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Luminosity ;10000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Kinguin    ;10000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Renegades  ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Immunity   ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;eBettle    ;2000
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;G2         ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Liquid     ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Vexed      ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Astralis   ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Gambit     ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;FaZe       ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Splyce     ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;OpTic      ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;North      ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;GODSENT    ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Immortals  ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;BIG        ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;MIBR       ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;TYLOO      ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Winstrike  ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;ENCE       ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;AVANGAR    ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;Vitality   ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;NRG        ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;CR4ZY      ;
ESL One Cologne 2015;2015-08-23T10:00:00.000Z;DreamEaters;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;fnatic     ;380000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;NiP        ;332000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;VeryGames  ;22000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Complexity ;32000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;LGB        ;34000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Recursive  ;10000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Reason     ;4000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;SK         ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Xapso      ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;iBUYPOWER  ;8000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Dignitas   ;56000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;LDLC       ;132000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;HellRaisers;24000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;3DMAX      ;4000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Titan      ;10000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;mousesports;6000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Cloud9     ;18000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Epsilon    ;10000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Wolves     ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;dAT        ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;PENTA      ;20000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;ESC        ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;FlipSid3   ;8000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Bravado    ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;myXMG      ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Planetkey  ;2000
